WORD TO SEARCH,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
flowed,75500,2800,500
justification,38700,1000,1100
calmly,57000,3100,500
obsequiousness,59500,5100,900
worse,65800,2400,800
sprained,75800,2700,800
out,65800,2800,700
deceived,59900,2800,500
adept,66600,1500,400
so,74100,2400,400
began,119900,1700,500
pleasing,71400,2800,600
insisted,15300,1100,1100
share,69900,3000,600
abhorrent,12800,600,600
cunning,63600,1800,400
threadbare,62300,2900,600
Aye,67200,2600,300
monosyllable,26400,1400,900
ornaments,49300,2000,500
disgrace,60500,2800,700
integrity,55700,2900,600
astonishment,66900,1000,400
indirect,64900,2400,600
fifteen,67700,900,400
indecorum,66100,1800,900
ceaseless,35000,1500,700
gate,64900,2000,800
jumbled,52200,2600,800
yielding,70200,2100,600
dear,73200,2000,200
similar,70000,800,400
success,70000,2500,700
sufferer,13800,300,700
impelled,40400,1200,700
enjoyment,66300,1800,500
perseveringly,55900,3000,800
unassuming,60500,2600,900
appear,64700,700,500
thanked,67100,2700,400
arrested,91600,2100,500
doors,64500,900,700
laurel,51100,1300,1000
updated,77000,1700,300
added,69100,1700,300
independence,62000,2600,600
diligence,19100,1300,1000
1,65300,3500,300
feelingly,45800,1100,600
asked,69200,2200,400
encouragement,63500,1500,300
laugh,66800,2500,600
fee,5200,400,700
affords,34500,1500,1000
performance,65100,2800,500
suffers,67600,3000,400
Blenheim,30900,1500,700
faculties,21100,1400,700
composition,58500,1800,500
inflicted,45100,800,700
tide,68400,2400,500
comparing,54700,1100,900
gratified,70400,2100,500
forever,64100,1000,500
benefiting,22800,600,700
surpassing,69700,1600,500
proved,64200,2500,500
narrative,40400,1900,700
complimented,59300,900,600
residing,16800,500,1000
filial,60100,1100,500
employments,49300,2300,700
watched,59100,2300,800
one,98400,15500,300
fixed,73500,1100,400
discompose,25500,1500,900
existence,59600,2300,700
freckled,36200,1600,600
unnecessary,56300,2700,600
Cheapside,66800,3100,500
shorten,57400,1800,800
Easter,62500,2400,300
Creating,6100,300,600
liberty,69800,2300,600
entail,62800,2000,400
avoided,39100,700,600
consequential,58500,1600,500
revealed,42000,1400,600
runs,44900,700,900
impression,43400,1300,14400
scarce,46900,1400,1100
completed,23200,400,800
luckily,55100,3300,700
parties,70400,3400,1000
objected,50100,2100,500
inquire,61600,2900,800
scandalous,60100,2600,600
everywhere,68600,2000,600
But,69600,2500,300
now,68000,2100,400
perturbed,39800,2400,1100
accuse,60100,1600,500
dishes,59400,2500,700
congratulate,55100,1600,800
destitute,106300,1300,600
deeply,70200,2300,500
purchase,70900,2400,600
exposing,65500,1200,500
Michaelmas,71600,1600,400
disclaimers,2300,400,1000
piquet,63500,1100,600
2011,72200,2700,300
ablution,55100,1100,400
displaying,50800,2200,900
news,69800,1500,400
larder,36200,1100,700
making,72500,1400,500
rage,32500,1000,900
authorised,57000,1700,500
glory,50800,2600,700
expeditiously,22400,800,800
cristina,74700,3200,300
conception,56000,2000,500
feelings,74600,1600,300
strength,70000,1600,900
relieve,60900,2300,800
sigh,50200,1800,900
50,17600,300,400
little,72700,1100,300
against,72700,2500,400
suspect,60800,2700,600
myself,72900,2400,500
equals,83200,2000,600
speech,121900,1800,1400
apologising,67300,1900,600
choosing,94000,2800,700
predominate,41000,1800,1100
curricle,39600,700,900
information,71100,1200,600
indignity,63900,3000,600
divide,44600,2900,900
established,95700,3300,600
perpetual,73800,2900,700
dullness,35700,1500,1000
black,83100,5000,600
revived,38300,1600,1100
vanish,78000,3000,1100
latterly,64500,2500,900
final,11500,600,1000
cards,72300,2900,400
sufficiency,27900,1100,900
hearing,93000,2900,900
sons,56700,3600,1800
England,88900,2700,400
described,47200,2400,800
